2011-11-27 04:58:18 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
2011-11-27 04:58:22 Warning: Warning (2): in_array() [<a href='function.in-array'>function.in-array</a>]: Wrong datatype for second argument in [E:\wamp\www\website\discoverycast\app\plugins\acl\controllers\components\acl_generate.php, line 94]
